date,code,open,high,low,close,volume,amount
2018-07-02,sh.600519,734.5200,739.3300,703.0000,711.5500,3755811,2709882026.0000
2018-07-03,sh.600519,709.7600,715.7800,678.2300,694.9200,8283710,5743330241.0000
2018-07-04,sh.600519,692.0000,700.0000,688.0000,690.9100,3799075,2637494710.0000
2018-07-05,sh.600519,700.0000,716.2000,700.0000,702.3900,4712380,3333680083.0000
2018-07-06,sh.600519,707.0000,720.9300,699.2600,714.1200,4415661,3140922350.0000
2018-07-09,sh.600519,720.0300,729.8600,719.7300,727.2400,4057266,2944655287.0000
2018-07-10,sh.600519,729.0000,731.5000,713.3300,725.7600,2901047,2096683487.0000
2018-07-11,sh.600519,710.0000,724.0000,702.2200,719.5800,2427845,1736875980.0000
2018-07-12,sh.600519,718.0000,741.1700,718.0000,737.5400,4017004,2947129140.0000
2018-07-13,sh.600519,742.3000,748.1000,735.1200,746.9900,2890704,2152944602.0000
2018-07-16,sh.600519,752.3000,764.1100,751.0300,754.6800,3247487,2454501604.0000
2018-07-17,sh.600519,757.0000,757.0000,736.0200,742.4300,2780603,2064190615.0000
2018-07-18,sh.600519,742.4300,749.6900,735.0000,737.4400,2452171,1818760392.0000
2018-07-19,sh.600519,739.0000,743.9500,735.0200,740.9500,1807850,1337080011.0000
2018-07-20,sh.600519,741.5000,743.1300,728.0000,741.1300,3054850,2249792135.0000
2018-07-23,sh.600519,736.0000,741.1500,720.0100,732.0700,3596989,2621763717.0000
2018-07-24,sh.600519,732.6800,747.3000,723.0000,745.4000,4180860,3091209135.0000
2018-07-25,sh.600519,746.9500,749.8800,740.0100,743.8100,2174388,1618737612.0000
2018-07-26,sh.600519,748.9000,748.9000,734.2300,735.6200,2306726,1707662628.0000
2018-07-27,sh.600519,736.0000,744.3000,730.0000,738.5600,2091360,1546655260.0000
2018-07-30,sh.600519,738.9000,740.6600,715.0000,719.2100,4217166,3058614520.0000
2018-07-31,sh.600519,720.3000,727.8800,719.2100,726.4400,2068346,1499353469.0000
2018-08-01,sh.600519,731.4000,732.3000,714.1100,714.9400,2523788,1821933661.0000
2018-08-02,sh.600519,715.9700,715.9700,687.8800,695.8400,5500143,3840134516.0000
2018-08-03,sh.600519,695.0000,695.0000,676.2000,678.9900,4733699,3230239085.0000
2018-08-06,sh.600519,677.0000,684.0000,662.2500,669.6800,4524812,3039091096.0000
2018-08-07,sh.600519,672.3000,687.8300,662.0200,686.2800,3908559,2645263310.0000
2018-08-08,sh.600519,687.0200,689.0000,671.8700,676.2200,2968544,2016438669.0000
2018-08-09,sh.600519,671.0000,694.5000,670.1200,691.8800,3448575,2368461339.0000
2018-08-10,sh.600519,691.8800,694.7700,684.2000,687.1800,2381767,1643993563.0000
2018-08-13,sh.600519,683.0000,683.0000,666.6800,679.2200,3457041,2329262063.0000
2018-08-14,sh.600519,679.2200,684.5000,673.5100,680.1300,2169683,1474124248.0000
2018-08-15,sh.600519,679.8000,680.0000,661.0000,662.8000,3499709,2336994709.0000
2018-08-16,sh.600519,652.0000,668.5000,640.0000,648.4400,5993985,3908421566.0000
2018-08-17,sh.600519,657.5000,657.5000,630.0100,634.8600,4657457,3001465861.0000
2018-08-20,sh.600519,632.4500,645.5500,616.8600,644.7900,4885234,3081035729.0000
2018-08-21,sh.600519,647.0000,672.3000,647.0000,671.4900,5224902,3460897975.0000
