,time,code,O,H,L,C,volume,amount,r_1,r_5,r_10,k,rsi,x_1,x_2,y_5_pred,y_10_pred,y_pred
0,2018/7/17,sh.600519,757.0,757.0,736.02,742.43,2780603,2064190615,-0.006721171999999999,0.004000377,-0.021537384,74.75547275,82.31520823,0.7282261679455441,1.7625817748300956,0.0040745093554976726,0.014373489203064669,0.0007291130988202746
1,2018/7/18,sh.600519,742.43,749.69,735.0,737.44,2452171,1818760392,0.004759709,0.008637991,-0.030510957,73.78706722,77.75545503,0.6797508953409003,1.4571532645694971,0.004767967928747608,0.014733488323188168,0.0008779533365373168
2,2018/7/19,sh.600519,739.0,743.95,735.02,740.95,1807850,1337080011,0.000242931,-0.0071934680000000015,-0.060881301,73.08428247,78.68959525,0.6445717464376137,1.5197253037248415,0.00462590156774882,0.01465973659967998,0.0008474609729581103
3,2018/7/20,sh.600519,741.5,743.13,728.0,741.13,3054850,2249792135,-0.012224576,-0.003467678,-0.08384493900000001,71.66429861,78.74109994,0.5734919120342573,1.5231752713103983,0.00461806860677999,0.01465567022979789,0.0008457797481270943
4,2018/7/23,sh.600519,736.0,741.15,720.01,732.07,3596989,2621763717,0.018208641,-0.017566626000000002,-0.085224091,68.15252846,69.26216004,0.3977039698215551,0.888242114729304,0.006059649291229289,0.015404046265523578,0.0011551929128618779
5,2018/7/24,sh.600519,732.68,747.3,723.0,745.4,4180860,3091209135,-0.002133083,-0.025436008,-0.07931312,68.4219312,74.36925564,0.4111894063018055,1.230333568465541,0.005282949528569543,0.015000833670072888,0.0009884862316433282
6,2018/7/25,sh.600519,746.95,749.88,740.01,743.81,2174388,1618737612,-0.011010876,-0.038813676,-0.09086998,68.21825446,72.74730712,0.4009940024251615,1.1216896795412494,0.00552961948135647,0.015128888855183696,0.001041430150468059
7,2018/7/26,sh.600519,748.9,748.9,734.23,735.62,2306726,1707662628,0.003996629,-0.054076833,-0.059460047,65.84299791,64.58497228,0.28209628323595354,0.5749474193616024,0.006770967603560678,0.015773317014267697,0.0013078664694143774
8,2018/7/27,sh.600519,736.0,744.3,730.0,738.56,2091360,1546655260,-0.026199632,-0.080656954,-0.069567808,62.300669299999996,66.12013739,0.10477868259711877,0.6777782463790264,0.006537495886959071,0.0156521135050856,0.0012577553493854886
9,2018/7/30,sh.600519,738.9,740.66,715.0,719.21,4217166,3058614520,0.010052697,-0.068867229,-0.055602675,53.34598977,50.05453321,-0.3434638334322702,-0.3983531440510164,0.00898079280773561,0.01692051622676194,0.0017821715272652702
10,2018/7/31,sh.600519,720.3,727.88,719.21,726.44,2068346,1499353469,-0.015830626,-0.055283299,-0.063749243,48.33743225,54.68297257,-0.5941761472477843,-0.08832379014731939,0.008276888272955212,0.016555094234811808,0.001631089224257881
11,2018/8/1,sh.600519,731.4,732.3,714.11,714.94,2523788,1821933661,-0.026715529,-0.054158390999999986,-0.072929197,40.60372405,46.90494933,-0.9813007573682674,-0.6093234905182758,0.009459789334073,0.0171691804363852,0.0018849807787416364
12,2018/8/2,sh.600519,715.97,715.97,687.88,695.84,5500143,3840134516,-0.024215337000000003,-0.005690963,-0.068119108,35.97622165,37.0564692,-1.2129386749239877,-1.2690097679328078,0.010957570613031282,0.017946732208563083,0.0022064565383728297
13,2018/8/3,sh.600519,695.0,695.0,676.2,678.99,4733699,3230239085,-0.013711542,0.012062033,-0.064993593,30.6112922,30.66607335,-1.4814898237318967,-1.697061243271651,0.011929437859847031,0.018451263217662627,0.0024150529241201988
14,2018/8/6,sh.600519,677.0,684.0,662.25,669.68,4524812,3039091096,0.024787958,0.01424561,-0.037167005,26.92254874,27.69713667,-1.666136481823675,-1.8959311968538857,0.012380961112066515,0.01868566506917125,0.0025119654590394233
15,2018/8/7,sh.600519,672.3,687.83,662.02,686.28,3908559,2645263310,-0.01465874,-0.008961357,-0.02155097,27.03747565,39.45508022,-1.6603836095823743,-1.1083422584427651,0.010592783901392861,0.017757358394050814,0.002128160670428153
16,2018/8/8,sh.600519,687.02,689.0,671.87,676.22,2968544,2016438669,0.023158144,-0.019845612,-0.01259945,25.22490905,35.51724475,-1.7511148759032846,-1.3721125040019857,0.011191659684125835,0.01806825620851829,0.0022567001640668443
17,2018/8/9,sh.600519,671.0,694.5,670.12,691.88,3448575,2368461339,-0.006793085999999999,-0.062785454,-0.03132046,26.68507198,45.1109554,-1.678023806215831,-0.7294915937955443,0.0097326243794252,0.017310818855830117,0.0019435406330346558
18,2018/8/10,sh.600519,691.88,694.77,684.2,687.18,2381767,1643993563,-0.011583573,-0.076137257,-0.039116389,27.06414071,42.95322365,-1.6590488422638532,-0.8740241518174334,0.01006077757438564,0.01748117490305271,0.0020139736789722322
19,2018/8/13,sh.600519,683.0,683.0,666.68,679.22,3457041,2329262063,0.001339772,-0.050690498,0.011895998,26.03748884,39.36565218,-1.710439739699473,-1.1143324670866728,0.010606384339466339,0.01776441886734888,0.0021310797956852327
20,2018/8/14,sh.600519,679.22,684.5,673.51,680.13,2169683,1474124248,-0.025480423,-0.012703454,0.001279167,25.53607285,40.01006475,-1.7355390147971457,-1.071167417879996,0.01050838047790284,0.017713541561490194,0.0021100447712223626
21,2018/8/15,sh.600519,679.8,680.0,661.0,662.8,3499709,2336994709,-0.021665661,0.0073928790000000015,0.034776705,21.70081807,32.58955888,-1.9275195593204333,-1.5682193314033253,0.011636909410872932,0.018299401248823986,0.0023522661830460345
